sales,id
0,3000888
0,3000889
887.4367931,3000890
8874.367931,3000891
0,3000892
5324.620759,3000893
0,3000894
11092.95991,3000895
19967.32785,3000896
7986.931138,3000897
443.7183966,3000898
443.7183966,3000899
28397.97738,3000900
0,3000901
0,3000902
887.4367931,3000903
2662.310379,3000904
0,3000905
4437.183966,3000906
0,3000907
7099.494345,3000908
2218.591983,3000909
3993.465569,3000910
0,3000911
0,3000912
7986.931138,3000913
0,3000914
0,3000915
0,3000916
0,3000917
113591.9095,3000918
6212.057552,3000919
0,3000920
0,3000921
0,3000922
887.4367931,3000923
19079.89105,3000924
0,3000925
6655.775949,3000926
0,3000927
13311.5519,3000928
47034.15004,3000929
7986.931138,3000930
443.7183966,3000931
443.7183966,3000932
42596.96607,3000933
0,3000934
0,3000935
887.4367931,3000936
2662.310379,3000937
0,3000938
6655.775949,3000939
0,3000940
7099.494345,3000941
2218.591983,3000942
4437.183966,3000943
0,3000944
0,3000945
8430.649535,3000946
0,3000947
0,3000948
0,3000949
0,3000950
102055.2312,3000951
6212.057552,3000952
0,3000953
0,3000954
0,3000955
887.4367931,3000956
23073.35662,3000957
0,3000958
7099.494345,3000959
0,3000960
15530.14388,3000961
64339.1675,3000962
7986.931138,3000963
443.7183966,3000964
443.7183966,3000965
45259.27645,3000966
0,3000967
0,3000968
1774.873586,3000969
2662.310379,3000970
0,3000971
6212.057552,3000972
0,3000973
7099.494345,3000974
1331.15519,3000975
3549.747173,3000976
0,3000977
0,3000978
7986.931138,3000979
0,3000980
443.7183966,3000981
0,3000982
0,3000983
72326.09864,3000984
6212.057552,3000985
0,3000986
0,3000987
0,3000988
887.4367931,3000989
16861.29907,3000990
0,3000991
7543.212742,3000992
0,3000993
12867.8335,3000994
51027.61561,3000995
7986.931138,3000996
443.7183966,3000997
443.7183966,3000998
38603.5005,3000999
0,3001000
0,3001001
887.4367931,3001002
2662.310379,3001003
0,3001004
6655.775949,3001005
0,3001006
7099.494345,3001007
2218.591983,3001008
3993.465569,3001009
0,3001010
0,3001011
6655.775949,3001012
0,3001013
0,3001014
443.7183966,3001015
0,3001016
97174.32885,3001017
6212.057552,3001018
0,3001019
0,3001020
0,3001021
887.4367931,3001022
14642.70709,3001023
0,3001024
7099.494345,3001025
0,3001026
12867.8335,3001027
47477.86843,3001028
7986.931138,3001029
443.7183966,3001030
443.7183966,3001031
39934.65569,3001032
0,3001033
0,3001034
887.4367931,3001035
2662.310379,3001036
0,3001037
6212.057552,3001038
0,3001039
7099.494345,3001040
1331.15519,3001041
4437.183966,3001042
0,3001043
0,3001044
8874.367931,3001045
0,3001046
0,3001047
0,3001048
0,3001049
108267.2888,3001050
6212.057552,3001051
0,3001052
0,3001053
0,3001054
887.4367931,3001055
16861.29907,3001056
0,3001057
6655.775949,3001058
0,3001059
13755.27029,3001060
50583.89721,3001061
7986.931138,3001062
